ID,ra,dec,sector,camera,ccd,result
142107918,99.1740196323626,-75.9863613945177,33,4,4,
142017818,97.1732103308183,-76.110383049358,33,4,4,false
141978088,96.4271954252205,-76.1009065303779,33,4,4,false
142107641,99.0237570365531,-75.4222615354904,33,4,4,false
142146016,99.9414580572912,-76.4369319008514,33,4,4,false
177310178,103.495589439713,-76.1433647069578,33,4,4,false
177257161,102.162216627912,-76.0680723901415,33,4,4,
177257359,102.106466232339,-75.6679515448655,33,4,4,false
177284790,102.691901248032,-75.5927758962432,33,4,4,
177309745,103.334866300303,-75.3860669194497,33,4,4,
370234980,105.085725095744,-75.8722089002142,33,4,4,false
177354156,104.485359569683,-75.785214642823,33,4,4,
177354242,104.64286416361,-75.6584645065368,33,4,4,false
177388758,105.027883019271,-75.7007465935409,33,4,4,false
177352045,104.201148380051,-75.6036671930923,33,4,4,false
370235241,105.402881471003,-75.3849809013497,33,4,4,false
177312376,103.669314046897,-75.3720537777045,33,4,4,false
177351895,103.996154658852,-75.3048581716417,33,4,4,false
142147705,100.083226010883,-75.6644863055705,33,4,4,
177284752,102.453217582633,-75.5281305314924,33,4,4,false
177287229,103.087492188997,-75.2849885138437,33,4,4,
177257739,102.315701271784,-75.0199102386367,33,4,4,false
177241581,101.422817255103,-75.083562848089,33,4,4,false
177312461,103.705323134129,-75.2430096159988,33,4,4,false
177312621,103.834145395372,-74.9647515396411,33,4,4,false
177312627,103.725150151285,-74.9564969929336,33,4,4,false
177351649,104.050202069,-74.8043597130046,33,4,4,false
177354719,104.324480777377,-74.8277171752673,33,4,4,false
141755603,91.5171254327034,-76.0315487543297,33,4,4,false
141771671,92.2465327150477,-75.8992228018464,33,4,4,false
141771689,92.4187152973301,-75.8681902001959,33,4,4,false
141941787,95.1245526044437,-75.9329740123723,33,4,4,
141943567,95.5575833431948,-75.9380248997266,33,4,4,
141943644,95.6573844676658,-75.7680708520086,33,4,4,false
142107545,98.8659511033101,-75.2440192762509,33,4,4,false
142084424,98.2697871910117,-75.1447348278127,33,4,4,false
142018328,96.8585602315643,-75.1302440185807,33,4,4,
141810585,92.6866117292829,-75.638858487306,33,4,4,false
141810540,92.5462283755814,-75.549368081085,33,4,4,
141909051,94.402550109819,-75.1174023802643,33,4,4,false
141909008,94.1282962433634,-75.0305134070936,33,4,4,false
141755995,91.5643475805694,-75.3076245655567,33,4,4,false
141753424,90.9799263631822,-75.2199806522095,33,4,4,false
141866958,94.0126940876184,-74.7775448416065,33,4,4,false
141941365,94.9961214363888,-75.0893255095405,33,4,4,false
141944107,95.357862336045,-74.8530761178844,33,4,4,
142050620,97.4141648777616,-74.5645612273897,33,4,4,false
141911883,94.7407909223295,-74.6979269125431,33,4,4,false
142107587,99.0278607060416,-75.3132331704074,33,4,4,false
142107413,99.0261051171434,-74.9947518811595,33,4,4,
142110232,99.4423207571863,-74.8438667844322,33,4,4,false
142107222,98.8452997677375,-74.6689127981963,33,4,4,false
142145054,99.7436389000223,-74.5721759749562,33,4,4,false
176871633,100.379545252564,-74.4351093677163,33,4,4,
176871674,100.41340161622,-74.3623465211404,33,4,4,
176874524,100.958837763974,-74.4677664477,33,4,4,false
177242167,101.167031448097,-74.1858421607437,33,4,4,false
177312971,103.72029327302,-74.3980466096535,33,4,4,false
177313132,103.885300498809,-74.1023662301982,33,4,4,false
271574337,106.096942414192,-73.6213987607485,33,4,4,false
177287937,102.74265988785,-74.061052236244,33,4,4,
177313219,103.52630016826,-73.9677230762917,33,4,4,false
177283814,102.707846830273,-73.9274193566374,33,4,4,
177313380,103.803027338399,-73.7346322461717,33,4,4,false
176871784,100.673323529865,-74.1357514717112,33,4,4,false
142087679,98.4413077332238,-74.0998280398404,33,4,4,false
142144664,99.9069212821747,-73.878276130357,33,4,4,false
142142316,99.4953756722763,-73.8915066271102,33,4,4,false
176872047,100.538554910405,-73.6873147268579,33,4,4,false
177308546,103.46766059913,-73.3866877521479,33,4,4,false
391947632,107.990179868172,-75.2105464037024,33,4,4,false
271694117,109.571661549099,-74.6457158295061,33,4,4,false
391926086,107.607380551926,-74.9224788898141,33,4,4,false
271694189,109.460393465015,-74.5377989178029,33,4,4,false
271697385,109.841040922654,-74.380952119081,33,4,4,false
271725437,110.851497798955,-74.1894373210976,33,4,4,false
271722492,110.216840249063,-74.1162896337809,33,4,4,false
271811905,112.395579263631,-74.1877376235247,33,4,4,
271890537,112.799079500678,-74.1281411015242,33,4,4,false
271893699,113.222204057614,-74.1080746787706,33,4,4,false
271971296,114.040640173111,-73.796601572472,33,4,4,false
271811722,112.17951597174,-73.9236942273843,33,4,4,false
271808925,112.069515358355,-73.7432640832163,33,4,4,false
271795658,111.186606874924,-73.8588211652668,33,4,4,false
271893397,113.165488260501,-73.6379971927253,33,4,4,false
271891035,112.891683121792,-73.4054362531797,33,4,4,false
391947122,107.862037285783,-74.1657703302264,33,4,4,
271641688,109.288500910794,-73.9720896005642,33,4,4,
271697086,110.050892447192,-73.8979620630201,33,4,4,
391923056,106.939155739891,-73.8459773700377,33,4,4,false
271795832,111.101533304281,-73.6344328332114,33,4,4,false
271725071,110.888503405139,-73.6286866073703,33,4,4,false
271809267,111.821248672345,-73.2295892329027,33,4,4,false
271724900,110.618975079143,-73.3430053697968,33,4,4,false
271797821,111.660499362997,-73.0530654213654,33,4,4,
271891505,112.713720403422,-72.7375137382418,33,4,4,
271810881,112.196108312751,-72.7867360158765,33,4,4,false
271810707,112.410550017833,-72.5504470403468,33,4,4,false
271810622,112.480260957053,-72.4174878887007,33,4,4,
271999962,114.523169366713,-73.7934735644231,33,4,4,false
272005152,114.912547399539,-73.6230021731302,33,4,4,
272087706,115.338019797082,-73.6007069617186,33,4,4,false
272129123,116.381683952415,-73.345467840486,33,4,4,false
271971026,113.971155129579,-73.4020914059592,33,4,4,false
272085563,115.076819493204,-72.9796381360985,33,4,4,
272127179,115.747232173832,-72.8954563105531,33,4,4,false
272322623,119.022854593971,-72.2365966992612,33,4,4,false
272356046,119.433794457039,-72.081041444669,33,4,4,false
272287669,118.04646370346,-72.1304863907125,33,4,4,false
271977014,114.161450444875,-72.8526207746384,33,4,4,
272086019,115.233435686635,-72.3900169210106,33,4,4,false
271906631,113.824815814489,-72.470044748366,33,4,4,
271998717,114.604040008846,-72.2054954857057,33,4,4,false
272086282,114.912407716471,-72.0566019700739,33,4,4,false
300870713,117.612776071216,-71.8141548526251,33,4,4,
453098063,116.017050277452,-71.8789696608776,33,4,4,false
300940127,117.795729447132,-71.0950463161591,33,4,4,false
391904094,106.455048586399,-73.670773081549,33,4,4,
391922722,106.830435546941,-73.2857569335404,33,4,4,false
391946501,107.997060894609,-72.9895666138013,33,4,4,
